KBudget,Strategy,SeedIndex,SynthesisSeed,Classification,SynthesisSuccess,Gamma,SDPRounds,MaxViolationStage1,MaxViolationFinal,VSur,VCert,OutputLMISignedViolation,IncrementLMISignedViolation,NViolated,Polished,MonteCarloSuccessPct,RMSE95
12,TopK+ICE,3,3110,failed,False,3.8548220538476654,4,0.0019165172506827362,0.0019165172506827362,0.0019165172506827362,0.0019165172506827362,-1.0841083482902062e-05,-0.0009953362047916958,64,False,0.0,9999.9
12,TopK+ICE,4,4110,failed,False,3.8548220538476654,4,0.0019165172506827362,0.0019165172506827362,0.0019165172506827362,0.0019165172506827362,-1.0841083482902062e-05,-0.0009953362047916958,64,False,0.0,9999.9
12,FPS-Param+ICE,0,110,failed,False,4.366168513629104,4,0.0005332309390681817,0.0005332309390681817,0.0005332309390681817,0.0005332309390681817,-0.00021415416812974164,-0.0011065998981176434,64,False,0.0,9999.9
12,FPS-Param+ICE,1,1110,failed,False,3.6169307738309566,4,0.004007963448015152,0.004007963448015152,0.004007963448015152,0.004007963448015152,-1.1313425318726522e-05,-0.0015158437018745672,96,False,0.0,9999.9
12,FPS-Param+ICE,2,2110,near_surrogate,True,4.377136352427728,4,0.00010281820660963176,0.00010263551392649181,0.00010263551392649181,0.00010263551392649181,-1.2218582408009322e-06,-0.0010947397434846258,32,True,100.0,0.37526083478639666
12,FPS-Param+ICE,3,3110,surrogate_pass,True,4.360271641198214,3,3.692428686709647e-05,3.692428686709647e-05,3.692428686709647e-05,3.692428686709647e-05,-9.492266677226077e-05,-0.001110826566998326,0,False,86.4,0.35494586418450585
12,FPS-Param+ICE,4,4110,surrogate_pass,True,4.409940643213257,3,3.596182184746548e-05,3.596182184746548e-05,3.596182184746548e-05,3.596182184746548e-05,-2.9379766427660355e-05,-0.0010870343842503544,0,False,96.0,0.3634765209845642
12,FPS-Delta+ICE,0,110,surrogate_pass,True,4.392001930767765,3,2.8092301273952693e-05,2.8092301273952693e-05,2.8092301273952693e-05,2.8092301273952693e-05,-7.277383326255329e-05,-0.001081648858275451,0,False,87.6,0.35650690710840177
12,FPS-Delta+ICE,1,1110,surrogate_pass,True,4.397149767028911,4,2.7127932968234156e-05,2.7127932968234156e-05,2.7127932968234156e-05,2.7127932968234156e-05,-4.1568646531122875e-05,-0.0010784753300512656,0,False,88.8,0.35900425691911564
12,FPS-Delta+ICE,2,2110,near_surrogate,True,4.376807127946315,4,0.00010221849402617263,0.00010270177892839977,0.00010270177892839977,0.00010270177892839977,-6.544930183358633e-06,-0.0010951918879007047,32,True,97.2,0.36741737999884516
12,FPS-Delta+ICE,3,3110,surrogate_pass,True,4.395665952604913,4,7.513555462676732e-06,7.513555462676732e-06,7.513555462676732e-06,7.513555462676732e-06,-0.00022760173018935878,-0.0010956716609298541,0,False,82.19999999999999,0.3527886538284169
12,FPS-Delta+ICE,4,4110,surrogate_pass,True,4.390266720631264,4,2.8260984612137296e-05,2.8260984612137296e-05,2.8260984612137296e-05,2.8260984612137296e-05,-2.1441129241121023e-05,-0.0010822517448227428,0,False,86.2,0.35572071370600644
16,SFPS+ICE,0,138,surrogate_pass,True,4.366172256171639,1,3.615489621350661e-05,3.615489621350661e-05,3.615489621350661e-05,3.615489621350661e-05,-0.00020794355597756334,-0.0011068964874183663,0,False,85.2,0.35688903358640894
16,SFPS+ICE,1,1138,surrogate_pass,True,4.35983638689587,1,3.675691504645605e-05,3.675691504645605e-05,3.675691504645605e-05,3.675691504645605e-05,-9.826295348528021e-05,-0.0011106178141161095,0,False,87.2,0.3581289084491842
16,SFPS+ICE,2,2138,surrogate_pass,True,4.36732312848267,1,3.591083736667767e-05,3.591083736667767e-05,3.591083736667767e-05,3.591083736667767e-05,-5.731388289194289e-05,-0.0011058667829527522,0,False,92.2,0.360449897515261
16,SFPS+ICE,3,3138,surrogate_pass,True,4.3665617711825675,1,3.5805360040237126e-05,3.5805360040237126e-05,3.5805360040237126e-05,3.5805360040237126e-05,-4.623823182111971e-05,-0.0011062635180479684,0,False,91.4,0.3624488858293771
16,SFPS+ICE,4,4138,surrogate_pass,True,4.362293720595863,1,3.665748170330097e-05,3.665748170330097e-05,3.665748170330097e-05,3.665748170330097e-05,-8.208694921222969e-05,-0.0011086035952324574,0,False,89.2,0.3588493605473704
16,SFPS-init,0,138,surrogate_pass,True,4.366172256171639,1,3.615489621350661e-05,3.615489621350661e-05,3.615489621350661e-05,3.615489621350661e-05,-0.00020794355597756334,-0.0011068964874183663,0,False,85.2,0.35688903358640894
16,SFPS-init,1,1138,surrogate_pass,True,4.35983638689587,1,3.675691504645605e-05,3.675691504645605e-05,3.675691504645605e-05,3.675691504645605e-05,-9.826295348528021e-05,-0.0011106178141161095,0,False,87.2,0.3581289084491842
16,SFPS-init,2,2138,surrogate_pass,True,4.36732312848267,1,3.591083736667767e-05,3.591083736667767e-05,3.591083736667767e-05,3.591083736667767e-05,-5.731388289194289e-05,-0.0011058667829527522,0,False,92.2,0.360449897515261
16,SFPS-init,3,3138,surrogate_pass,True,4.3665617711825675,1,3.5805360040237126e-05,3.5805360040237126e-05,3.5805360040237126e-05,3.5805360040237126e-05,-4.623823182111971e-05,-0.0011062635180479684,0,False,91.4,0.3624488858293771
16,SFPS-init,4,4138,surrogate_pass,True,4.362293720595863,1,3.665748170330097e-05,3.665748170330097e-05,3.665748170330097e-05,3.665748170330097e-05,-8.208694921222969e-05,-0.0011086035952324574,0,False,89.2,0.3588493605473704
16,Random+ICE,0,138,surrogate_pass,True,4.374927381447626,1,7.647974545519324e-05,7.647974545519324e-05,7.647974545519324e-05,7.647974545519324e-05,-5.774161160573836e-05,-0.001101322259303462,0,False,91.8,0.3630692375858483
16,Random+ICE,1,1138,surrogate_pass,True,4.397809990667261,2,6.868909889547878e-05,6.868909889547878e-05,6.868909889547878e-05,6.868909889547878e-05,-8.264629425687786e-05,-0.0010724320796659094,0,False,91.4,0.3574387848114625
16,Random+ICE,2,2138,surrogate_pass,True,4.409434405465844,4,5.5348987842785866e-06,5.5348987842785866e-06,5.5348987842785866e-06,5.5348987842785866e-06,-4.2458354024091935e-05,-0.0010874409975104979,0,False,89.2,0.358297373110256
