vertex_index,old_full_qmi_raw_score,archived_raw_score,new_dynamics_raw_score,dynamics_score_from_qmi_block,absolute_difference,relative_difference,old_processed_score,new_processed_score,old_anchor,new_anchor,old_tier,new_tier
108,12128.081478417924,12128.081478417924,12128.081478417898,12128.081478417927,2.546585164964199e-11,2.0997427907257055e-15,0.6053618338868734,0.6053618338868731,False,False,1,1
109,12127.985167673865,12127.985167673865,12127.985167673834,12127.985167673867,3.092281986027956e-11,2.5497079220299313e-15,0.6053579462544957,0.6053579462544951,False,False,1,1
110,12127.280982070466,12127.280982070466,12127.280982070439,12127.280982070468,2.7284841053187847e-11,2.2498729182186033e-15,0.6053295202792123,0.6053295202792119,False,False,1,1
111,12127.184727795306,12127.184727795306,12127.184727795277,12127.18472779531,2.9103830456733704e-11,2.3998834939842394e-15,0.6053256346081026,0.6053256346081023,False,False,1,1
112,12789.152240039755,12789.152240039755,12789.152240039737,12789.152240039755,1.8189894035458565e-11,1.4222908363316208e-15,0.6311639963674938,0.631163996367494,False,False,2,2
113,12789.050524919203,12789.050524919203,12789.050524919181,12789.050524919203,2.1827872842550278e-11,1.7067625778801261e-15,0.6311601590271991,0.6311601590271994,False,False,2,2
114,12788.388565827187,12788.388565827187,12788.388565827154,12788.388565827187,3.2741809263825417e-11,2.560276386292896e-15,0.6311351847510619,0.6311351847510617,False,False,2,2
115,12788.28690160912,12788.28690160912,12788.286901609088,12788.28690160912,3.2741809263825417e-11,2.560296739957061e-15,0.6311313490315387,0.6311313490315384,False,False,2,2
116,12128.068621232525,12128.068621232525,12128.068621232498,12128.06862123253,2.7284841053187847e-11,2.249726803608323e-15,0.6053613149022326,0.6053613149022323,False,False,1,1
117,12127.972307354603,12127.972307354603,12127.97230735458,12127.972307354605,2.3646862246096134e-11,1.949778713771987e-15,0.6053574271382415,0.6053574271382414,False,False,1,1
118,12127.268139506137,12127.268139506137,12127.268139506112,12127.268139506137,2.546585164964199e-11,2.0998836140749374e-15,0.6053290018423092,0.605329001842309,False,False,1,1
119,12127.17188209897,12127.17188209897,12127.171882098937,12127.171882098972,3.2741809263825417e-11,2.6998717905661007e-15,0.6053251160396593,0.6053251160396589,False,False,1,1
120,12789.151295109026,12789.151295109026,12789.151295109008,12789.15129510903,1.8189894035458565e-11,1.4222909414180559e-15,0.6311639607188895,0.6311639607188898,False,False,2,2
121,12789.049577619964,12789.049577619964,12789.049577619935,12789.049577619964,2.9103830456733704e-11,2.2756836057359245e-15,0.6311601232888684,0.6311601232888683,False,False,2,2
122,12788.387621390579,12788.387621390579,12788.38762139056,12788.387621390582,1.8189894035458565e-11,1.4223758752067478e-15,0.6311351491183157,0.6311351491183161,False,False,2,2
123,12788.285954804047,12788.285954804047,12788.285954804021,12788.285954804047,2.546585164964199e-11,1.9913420562882775e-15,0.631131313309061,0.631131313309061,False,False,2,2
124,12128.067655678084,12128.067655678084,12128.06765567806,12128.067655678082,2.3646862246096134e-11,1.9497633850207965e-15,0.6053612759272732,0.6053612759272731,False,False,1,1
125,12127.971339334199,12127.971339334199,12127.971339334168,12127.971339334203,3.092281986027956e-11,2.5497108292125267e-15,0.6053573880633576,0.6053573880633571,False,False,1,1
126,12127.2671745084,12127.2671745084,12127.267174508372,12127.267174508397,2.9103830456733704e-11,2.3998671784777822e-15,0.6053289628866321,0.6053289628866316,False,False,1,1
127,12127.170914635339,12127.170914635339,12127.170914635319,12127.170914635339,2.000888343900442e-11,1.6499217814154212e-15,0.6053250769840526,0.6053250769840526,False,False,1,1
128,12818.241848755153,12818.241848755153,12818.241848755124,12818.241848755155,2.9103830456733704e-11,2.270500962623055e-15,0.6322598043859232,0.6322598043859231,False,False,2,2
129,12818.228960668845,12818.228960668845,12818.228960668815,12818.228960668846,2.9103830456733704e-11,2.270503245497894e-15,0.6322593196122195,0.6322593196122193,False,False,2,2
130,12814.1223902311,12814.1223902311,12814.122390231072,12814.122390231103,2.7284841053187847e-11,2.129278948825131e-15,0.6321048221344022,0.6321048221344022,False,False,2,2
131,12814.109280265846,12814.109280265846,12814.109280265806,12814.109280265846,4.001776687800884e-11,3.122945653322743e-15,0.6321043288070944,0.6321043288070939,False,False,2,2
132,12165.5654345189,12165.5654345189,12165.565434518872,12165.565434518894,2.7284841053187847e-11,2.2427926757739603e-15,0.6068719886349034,0.6068719886349031,False,False,2,2
133,12165.549523912801,12165.549523912801,12165.549523912778,12165.5495239128,2.3646862246096134e-11,1.9437561944584156e-15,0.6068713488554393,0.6068713488554391,False,False,2,2
134,12158.934595710456,12158.934595710456,12158.934595710434,12158.93459571046,2.1827872842550278e-11,1.7952126208698353e-15,0.6066052665523745,0.6066052665523745,False,False,1,1
135,12158.918231758558,12158.918231758558,12158.918231758526,12158.91823175856,3.2741809263825417e-11,2.6928225554067183e-15,0.6066046080970284,0.6066046080970279,False,False,1,1
136,12818.24087568156,12818.24087568156,12818.240875681533,12818.240875681564,2.7284841053187847e-11,2.1285948140475306e-15,0.6322597677846629,0.6322597677846629,False,False,2,2
137,12818.227989414121,12818.227989414121,12818.227989414105,12818.227989414125,1.6370904631912708e-11,1.277158172364585e-15,0.6322592830793261,0.6322592830793266,False,False,2,2
138,12814.121420902611,12814.121420902611,12814.121420902591,12814.121420902611,2.000888343900442e-11,1.561471347256441e-15,0.6321047856586445,0.6321047856586448,False,False,2,2
139,12814.108312771099,12814.108312771099,12814.108312771068,12814.108312771095,3.092281986027956e-11,2.4131854597686307e-15,0.6321042924002914,0.6321042924002913,False,False,2,2
140,12165.564437916326,12165.564437916326,12165.564437916291,12165.56443791632,3.456079866737127e-11,2.8408709553710377e-15,0.606871948560668,0.6068719485606674,False,False,2,2
141,12165.548529167916,12165.548529167916,12165.548529167887,12165.54852916792,2.9103830456733704e-11,2.3923155118698384e-15,0.606871308855838,0.6068713088558376,False,False,2,2
142,12158.933602968242,12158.933602968242,12158.933602968218,12158.933602968247,2.3646862246096134e-11,1.944813831397472e-15,0.606605226606284,0.6066052266062838,False,False,1,1
